trade_date,tradebook,trade_id,currency,price,quantity,notional
2026-02-20,FX,524,USD,124.60,5,623.00
2026-02-21,EQD,525,USD,125.00,6,750.00
2026-02-22,FICC,526,EUR,126.10,7,882.70
2026-02-23,FX,527,USD,127.20,8,1017.60
2026-02-24,EQD,528,USD,128.30,9,1154.70
2026-02-25,FICC,529,EUR,129.40,10,1294.00
2026-02-26,FX,530,USD,130.50,11,1435.50
2026-02-27,EQD,531,USD,131.60,12,1579.20
2026-02-28,FICC,532,EUR,132.00,13,1716.00
2026-02-01,FX,533,USD,133.10,14,1863.40
2026-02-02,EQD,534,USD,134.20,15,2013.00
2026-02-03,FICC,535,EUR,135.30,16,2164.80
2026-02-04,FX,536,USD,136.40,17,2318.80
2026-02-05,EQD,537,USD,137.50,18,2475.00
2026-02-06,FICC,538,EUR,138.60,19,2633.40
2026-02-07,FX,539,USD,139.00,20,2780.00
2026-02-08,EQD,540,USD,140.10,1,140.10
2026-02-09,FICC,541,EUR,141.20,2,282.40
2026-02-10,FX,542,USD,142.30,3,426.90
2026-02-11,EQD,543,USD,143.40,4,573.60
2026-02-12,FICC,544,EUR,144.50,5,722.50
2026-02-13,FX,545,USD,145.60,6,873.60
2026-02-14,EQD,546,USD,146.00,7,1022.00
2026-02-15,FICC,547,EUR,147.10,8,1176.80
2026-02-16,FX,548,USD,148.20,9,1333.80
2026-02-17,EQD,549,USD,149.30,10,1493.00
2026-02-18,FICC,550,EUR,100.40,11,1104.40
2026-02-19,FX,551,USD,101.50,12,1218.00
2026-02-20,EQD,552,USD,102.60,13,1333.80
2026-02-21,FICC,553,EUR,103.00,14,1442.00
2026-02-22,FX,554,USD,104.10,15,1561.50
2026-02-23,EQD,555,USD,105.20,16,1683.20
2026-02-24,FICC,556,EUR,106.30,17,1807.10
2026-02-25,FX,557,USD,107.40,18,1933.20
2026-02-26,EQD,558,USD,108.50,19,2061.50
2026-02-27,FICC,559,EUR,109.60,20,2192.00
2026-02-28,FX,560,USD,110.00,1,110.00
2026-02-01,EQD,561,USD,111.10,2,222.20
2026-02-02,FICC,562,EUR,112.20,3,336.60
2026-02-03,FX,563,USD,113.30,4,453.20
2026-02-04,EQD,564,USD,114.40,5,572.00
2026-02-05,FICC,565,EUR,115.50,6,693.00
2026-02-06,FX,566,USD,116.60,7,816.20
2026-02-07,EQD,567,USD,117.00,8,936.00
2026-02-08,FICC,568,EUR,118.10,9,1062.90
2026-02-09,FX,569,USD,119.20,10,1192.00
2026-02-10,EQD,570,USD,120.30,11,1323.30
2026-02-11,FICC,571,EUR,121.40,12,1456.80
2026-02-12,FX,572,USD,122.50,13,1592.50
2026-02-13,EQD,573,USD,123.60,14,1730.40
2026-02-14,FICC,574,EUR,124.00,15,1860.00
2026-02-15,FX,575,USD,125.10,16,2001.60
2026-02-16,EQD,576,USD,126.20,17,2145.40
2026-02-17,FICC,577,EUR,127.30,18,2291.40
2026-02-18,FX,578,USD,128.40,19,2439.60
2026-02-19,EQD,579,USD,129.50,20,2590.00
2026-02-20,FICC,580,EUR,130.60,1,130.60
2026-02-21,FX,581,USD,131.00,2,262.00
2026-02-22,EQD,582,USD,132.10,3,396.30
2026-02-23,FICC,583,EUR,133.20,4,532.80
2026-02-24,FX,584,USD,134.30,5,671.50
2026-02-25,EQD,585,USD,135.40,6,812.40
2026-02-26,FICC,586,EUR,136.50,7,955.50
2026-02-27,FX,587,USD,137.60,8,1100.80
2026-02-28,EQD,588,USD,138.00,9,1242.00
2026-02-01,FICC,589,EUR,139.10,10,1391.00
2026-02-02,FX,590,USD,140.20,11,1542.20
2026-02-03,EQD,591,USD,141.30,12,1695.60
2026-02-04,FICC,592,EUR,142.40,13,1851.20
2026-02-05,FX,593,USD,143.50,14,2009.00
2026-02-06,EQD,594,USD,144.60,15,2169.00
2026-02-07,FICC,595,EUR,145.00,16,2320.00
2026-02-08,FX,596,USD,146.10,17,2483.70
2026-02-09,EQD,597,USD,147.20,18,2649.60
2026-02-10,FICC,598,EUR,148.30,19,2817.70
2026-02-11,FX,599,USD,149.40,20,2988.00
2026-02-12,EQD,600,USD,100.50,1,100.50
2026-02-13,FICC,601,EUR,101.60,2,203.20
2026-02-14,FX,602,USD,102.00,3,306.00
2026-02-15,EQD,603,USD,103.10,4,412.40
2026-02-16,FICC,604,EUR,104.20,5,521.00
2026-02-17,FX,605,USD,105.30,6,631.80
2026-02-18,EQD,606,USD,106.40,7,744.80
2026-02-19,FICC,607,EUR,107.50,8,860.00
2026-02-20,FX,608,USD,108.60,9,977.40
2026-02-21,EQD,609,USD,109.00,10,1090.00
2026-02-22,FICC,610,EUR,110.10,11,1211.10
2026-02-23,FX,611,USD,111.20,12,1334.40
2026-02-24,EQD,612,USD,112.30,13,1459.90
2026-02-25,FICC,613,EUR,113.40,14,1587.60
2026-02-26,FX,614,USD,114.50,15,1717.50
2026-02-27,EQD,615,USD,115.60,16,1849.60
2026-02-28,FICC,616,EUR,116.00,17,1972.00
2026-02-01,FX,617,USD,117.10,18,2107.80
2026-02-02,EQD,618,USD,118.20,19,2245.80
2026-02-03,FICC,619,EUR,119.30,20,2386.00
2026-02-04,FX,620,USD,120.40,1,120.40
2026-02-05,EQD,621,USD,121.50,2,243.00
2026-02-06,FICC,622,EUR,122.60,3,367.80
2026-02-07,FX,623,USD,123.00,4,492.00
2026-02-08,EQD,624,USD,124.10,5,620.50
2026-02-09,FICC,625,EUR,125.20,6,751.20
2026-02-10,FX,626,USD,126.30,7,884.10
2026-02-11,EQD,627,USD,127.40,8,1019.20
2026-02-12,FICC,628,EUR,128.50,9,1156.50
2026-02-13,FX,629,USD,129.60,10,1296.00
2026-02-14,EQD,630,USD,130.00,11,1430.00
2026-02-15,FICC,631,EUR,131.10,12,1573.20
2026-02-16,FX,632,USD,132.20,13,1718.60
2026-02-17,EQD,633,USD,133.30,14,1866.20
2026-02-18,FICC,634,EUR,134.40,15,2016.00
2026-02-19,FX,635,USD,135.50,16,2168.00
2026-02-20,EQD,636,USD,136.60,17,2322.20
2026-02-21,FICC,637,EUR,137.00,18,2466.00
2026-02-22,FX,638,USD,138.10,19,2623.90
2026-02-23,EQD,639,USD,139.20,20,2784.00
2026-02-24,FICC,640,EUR,140.30,1,140.30
2026-02-25,FX,641,USD,141.40,2,282.80
2026-02-26,EQD,642,USD,142.50,3,427.50
2026-02-27,FICC,643,EUR,143.60,4,574.40
2026-02-28,FX,644,USD,144.00,5,720.00
2026-02-01,EQD,645,USD,145.10,6,870.60
2026-02-02,FICC,646,EUR,146.20,7,1023.40
2026-02-03,FX,647,USD,147.30,8,1178.40
2026-02-04,EQD,648,USD,148.40,9,1335.60
2026-02-05,FICC,649,EUR,149.50,10,1495.00
2026-02-06,FX,650,USD,100.60,11,1106.60
2026-02-07,EQD,651,USD,101.00,12,1212.00
2026-02-08,FICC,652,EUR,102.10,13,1327.30
2026-02-09,FX,653,USD,103.20,14,1444.80
2026-02-10,EQD,654,USD,104.30,15,1564.50
2026-02-11,FICC,655,EUR,105.40,16,1686.40
2026-02-12,FX,656,USD,106.50,17,1810.50
2026-02-13,EQD,657,USD,107.60,18,1936.80
2026-02-14,FICC,658,EUR,108.00,19,2052.00
2026-02-15,FX,659,USD,109.10,20,2182.00
2026-02-16,EQD,660,USD,110.20,1,110.20
2026-02-17,FICC,661,EUR,111.30,2,222.60
2026-02-18,FX,662,USD,112.40,3,337.20
2026-02-19,EQD,663,USD,113.50,4,454.00
2026-02-20,FICC,664,EUR,114.60,5,573.00
2026-02-21,FX,665,USD,115.00,6,690.00
2026-02-22,EQD,666,USD,116.10,7,812.70
2026-02-23,FICC,667,EUR,117.20,8,937.60
2026-02-24,FX,668,USD,118.30,9,1064.70
2026-02-25,EQD,669,USD,119.40,10,1194.00
2026-02-26,FICC,670,EUR,120.50,11,1325.50
2026-02-27,FX,671,USD,121.60,12,1459.20
2026-02-28,EQD,672,USD,122.00,13,1586.00
2026-02-01,FICC,673,EUR,123.10,14,1723.40
2026-02-02,FX,674,USD,124.20,15,1863.00
2026-02-03,EQD,675,USD,125.30,16,2004.80
2026-02-04,FICC,676,EUR,126.40,17,2148.80
2026-02-05,FX,677,USD,127.50,18,2295.00
2026-02-06,EQD,678,USD,128.60,19,2443.40
2026-02-07,FICC,679,EUR,129.00,20,2580.00
2026-02-08,FX,680,USD,130.10,1,130.10
2026-02-09,EQD,681,USD,131.20,2,262.40
2026-02-10,FICC,682,EUR,132.30,3,396.90
2026-02-11,FX,683,USD,133.40,4,533.60
2026-02-12,EQD,684,USD,134.50,5,672.50
2026-02-13,FICC,685,EUR,135.60,6,813.60
2026-02-14,FX,686,USD,136.00,7,952.00
2026-02-15,EQD,687,USD,137.10,8,1096.80
2026-02-16,FICC,688,EUR,138.20,9,1243.80
2026-02-17,FX,689,USD,139.30,10,1393.00
2026-02-18,EQD,690,USD,140.40,11,1544.40
2026-02-19,FICC,691,EUR,141.50,12,1698.00
2026-02-20,FX,692,USD,142.60,13,1853.80
2026-02-21,EQD,693,USD,143.00,14,2002.00
2026-02-22,FICC,694,EUR,144.10,15,2161.50
2026-02-23,FX,695,USD,145.20,16,2323.20
2026-02-24,EQD,696,USD,146.30,17,2487.10
2026-02-25,FICC,697,EUR,147.40,18,2653.20
2026-02-26,FX,698,USD,148.50,19,2821.50
2026-02-27,EQD,699,USD,149.60,20,2992.00
2026-02-28,FICC,700,EUR,100.00,1,100.00
2026-02-01,FX,701,USD,101.10,2,202.20
2026-02-02,EQD,702,USD,102.20,3,306.60
2026-02-03,FICC,703,EUR,103.30,4,413.20
2026-02-04,FX,704,USD,104.40,5,522.00
2026-02-05,EQD,705,USD,105.50,6,633.00
2026-02-06,FICC,706,EUR,106.60,7,746.20
2026-02-07,FX,707,USD,107.00,8,856.00
2026-02-08,EQD,708,USD,108.10,9,972.90
2026-02-09,FICC,709,EUR,109.20,10,1092.00
2026-02-10,FX,710,USD,110.30,11,1213.30
2026-02-11,EQD,711,USD,111.40,12,1336.80
2026-02-12,FICC,712,EUR,112.50,13,1462.50
2026-02-13,FX,713,USD,113.60,14,1590.40
2026-02-14,EQD,714,USD,114.00,15,1710.00
2026-02-15,FICC,715,EUR,115.10,16,1841.60
2026-02-16,FX,716,USD,116.20,17,1975.40
2026-02-17,EQD,717,USD,117.30,18,2111.40
2026-02-18,FICC,718,EUR,118.40,19,2249.60
2026-02-19,FX,719,USD,119.50,20,2390.00
2026-02-20,EQD,720,USD,120.60,1,120.60
2026-02-21,FICC,721,EUR,121.00,2,242.00
2026-02-22,FX,722,USD,122.10,3,366.30
2026-02-23,EQD,723,USD,123.20,4,492.80
2026-02-24,FICC,724,EUR,124.30,5,621.50
2026-02-25,FX,725,USD,125.40,6,752.40
2026-02-26,EQD,726,USD,126.50,7,885.50
2026-02-27,FICC,727,EUR,127.60,8,1020.80
2026-02-28,FX,728,USD,128.00,9,1152.00
2026-02-01,EQD,729,USD,129.10,10,1291.00
2026-02-02,FICC,730,EUR,130.20,11,1432.20
2026-02-03,FX,731,USD,131.30,12,1575.60
2026-02-04,EQD,732,USD,132.40,13,1721.20
2026-02-05,FICC,733,EUR,133.50,14,1869.00
2026-02-06,FX,734,USD,134.60,15,2019.00
2026-02-07,EQD,735,USD,135.00,16,2160.00
2026-02-08,FICC,736,EUR,136.10,17,2313.70
2026-02-09,FX,737,USD,137.20,18,2469.60
2026-02-10,EQD,738,USD,138.30,19,2627.70
2026-02-11,FICC,739,EUR,139.40,20,2788.00
2026-02-12,FX,740,USD,140.50,1,140.50
2026-02-13,EQD,741,USD,141.60,2,283.20
2026-02-14,FICC,742,EUR,142.00,3,426.00
2026-02-15,FX,743,USD,143.10,4,572.40
2026-02-16,EQD,744,USD,144.20,5,721.00
2026-02-17,FICC,745,EUR,145.30,6,871.80
2026-02-18,FX,746,USD,146.40,7,1024.80
2026-02-19,EQD,747,USD,147.50,8,1180.00
2026-02-20,FICC,748,EUR,148.60,9,1337.40
2026-02-21,FX,749,USD,149.00,10,1490.00
2026-02-22,EQD,750,USD,100.10,11,1101.10
2026-02-23,FICC,751,EUR,101.20,12,1214.40
2026-02-24,FX,752,USD,102.30,13,1329.90
2026-02-25,EQD,753,USD,103.40,14,1447.60
2026-02-26,FICC,754,EUR,104.50,15,1567.50
2026-02-27,FX,755,USD,105.60,16,1689.60
2026-02-28,EQD,756,USD,106.00,17,1802.00
2026-02-01,FICC,757,EUR,107.10,18,1927.80
2026-02-02,FX,758,USD,108.20,19,2055.80
2026-02-03,EQD,759,USD,109.30,20,2186.00
2026-02-04,FICC,760,EUR,110.40,1,110.40
2026-02-05,FX,761,USD,111.50,2,223.00
2026-02-06,EQD,762,USD,112.60,3,337.80
2026-02-07,FICC,763,EUR,113.00,4,452.00
2026-02-08,FX,764,USD,114.10,5,570.50
2026-02-09,EQD,765,USD,115.20,6,691.20
2026-02-10,FICC,766,EUR,116.30,7,814.10
2026-02-11,FX,767,USD,117.40,8,939.20
2026-02-12,EQD,768,USD,118.50,9,1066.50
2026-02-13,FICC,769,EUR,119.60,10,1196.00
2026-02-14,FX,770,USD,120.00,11,1320.00
2026-02-15,EQD,771,USD,121.10,12,1453.20
2026-02-16,FICC,772,EUR,122.20,13,1588.60
2026-02-17,FX,773,USD,123.30,14,1726.20
2026-02-18,EQD,774,USD,124.40,15,1866.00
2026-02-19,FICC,775,EUR,125.50,16,2008.00
2026-02-20,FX,776,USD,126.60,17,2152.20
2026-02-21,EQD,777,USD,127.00,18,2286.00
2026-02-22,FICC,778,EUR,128.10,19,2433.90
2026-02-23,FX,779,USD,129.20,20,2584.00
2026-02-24,EQD,780,USD,130.30,1,130.30
2026-02-25,FICC,781,EUR,131.40,2,262.80
2026-02-26,FX,782,USD,132.50,3,397.50
2026-02-27,EQD,783,USD,133.60,4,534.40
2026-02-28,FICC,784,EUR,134.00,5,670.00
2026-02-01,FX,785,USD,135.10,6,810.60
2026-02-02,EQD,786,USD,136.20,7,953.40
2026-02-03,FICC,787,EUR,137.30,8,1098.40
2026-02-04,FX,788,USD,138.40,9,1245.60
2026-02-05,EQD,789,USD,139.50,10,1395.00
2026-02-06,FICC,790,EUR,140.60,11,1546.60
2026-02-07,FX,791,USD,141.00,12,1692.00
2026-02-08,EQD,792,USD,142.10,13,1847.30
2026-02-09,FICC,793,EUR,143.20,14,2004.80
2026-02-10,FX,794,USD,144.30,15,2164.50
2026-02-11,EQD,795,USD,145.40,16,2326.40
2026-02-12,FICC,796,EUR,146.50,17,2490.50
2026-02-13,FX,797,USD,147.60,18,2656.80
2026-02-14,EQD,798,USD,148.00,19,2812.00
2026-02-15,FICC,799,EUR,149.10,20,2982.00
2026-02-16,FX,800,USD,100.20,1,100.20
2026-02-17,EQD,801,USD,101.30,2,202.60
2026-02-18,FICC,802,EUR,102.40,3,307.20
2026-02-19,FX,803,USD,103.50,4,414.00
2026-02-20,EQD,804,USD,104.60,5,523.00
2026-02-21,FICC,805,EUR,105.00,6,630.00
2026-02-22,FX,806,USD,106.10,7,742.70
2026-02-23,EQD,807,USD,107.20,8,857.60
2026-02-24,FICC,808,EUR,108.30,9,974.70
2026-02-25,FX,809,USD,109.40,10,1094.00
2026-02-26,EQD,810,USD,110.50,11,1215.50
2026-02-27,FICC,811,EUR,111.60,12,1339.20
2026-02-28,FX,812,USD,112.00,13,1456.00
2026-02-01,EQD,813,USD,113.10,14,1583.40
2026-02-02,FICC,814,EUR,114.20,15,1713.00
2026-02-03,FX,815,USD,115.30,16,1844.80
2026-02-04,EQD,816,USD,116.40,17,1978.80
2026-02-05,FICC,817,EUR,117.50,18,2115.00
2026-02-06,FX,818,USD,118.60,19,2253.40
2026-02-07,EQD,819,USD,119.00,20,2380.00
2026-02-08,FICC,820,EUR,120.10,1,120.10
2026-02-09,FX,821,USD,121.20,2,242.40
2026-02-10,EQD,822,USD,122.30,3,366.90
2026-02-11,FICC,823,EUR,123.40,4,493.60
2026-02-12,FX,824,USD,124.50,5,622.50
2026-02-13,EQD,825,USD,125.60,6,753.60
2026-02-14,FICC,826,EUR,126.00,7,882.00
2026-02-15,FX,827,USD,127.10,8,1016.80
2026-02-16,EQD,828,USD,128.20,9,1153.80
2026-02-17,FICC,829,EUR,129.30,10,1293.00
2026-02-18,FX,830,USD,130.40,11,1434.40
2026-02-19,EQD,831,USD,131.50,12,1578.00
2026-02-20,FICC,832,EUR,132.60,13,1723.80
2026-02-21,FX,833,USD,133.00,14,1862.00
2026-02-22,EQD,834,USD,134.10,15,2011.50
2026-02-23,FICC,835,EUR,135.20,16,2163.20
2026-02-24,FX,836,USD,136.30,17,2317.10
2026-02-25,EQD,837,USD,137.40,18,2473.20
2026-02-26,FICC,838,EUR,138.50,19,2631.50
2026-02-27,FX,839,USD,139.60,20,2792.00
2026-02-28,EQD,840,USD,140.00,1,140.00
2026-02-01,FICC,841,EUR,141.10,2,282.20
2026-02-02,FX,842,USD,142.20,3,426.60
2026-02-03,EQD,843,USD,143.30,4,573.20
2026-02-04,FICC,844,EUR,144.40,5,722.00
2026-02-05,FX,845,USD,145.50,6,873.00
2026-02-06,EQD,846,USD,146.60,7,1026.20
2026-02-07,FICC,847,EUR,147.00,8,1176.00
2026-02-08,FX,848,USD,148.10,9,1332.90
2026-02-09,EQD,849,USD,149.20,10,1492.00
2026-02-10,FICC,850,EUR,100.30,11,1103.30
2026-02-11,FX,851,USD,101.40,12,1216.80
2026-02-12,EQD,852,USD,102.50,13,1332.50
2026-02-13,FICC,853,EUR,103.60,14,1450.40
2026-02-14,FX,854,USD,104.00,15,1560.00
2026-02-15,EQD,855,USD,105.10,16,1681.60
2026-02-16,FICC,856,EUR,106.20,17,1805.40
2026-02-17,FX,857,USD,107.30,18,1931.40
2026-02-18,EQD,858,USD,108.40,19,2059.60
2026-02-19,FICC,859,EUR,109.50,20,2190.00
2026-02-20,FX,860,USD,110.60,1,110.60
2026-02-21,EQD,861,USD,111.00,2,222.00
2026-02-22,FICC,862,EUR,112.10,3,336.30
2026-02-23,FX,863,USD,113.20,4,452.80
2026-02-24,EQD,864,USD,114.30,5,571.50
2026-02-25,FICC,865,EUR,115.40,6,692.40
2026-02-26,FX,866,USD,116.50,7,815.50
2026-02-27,EQD,867,USD,117.60,8,940.80
2026-02-28,FICC,868,EUR,118.00,9,1062.00
2026-02-01,FX,869,USD,119.10,10,1191.00
2026-02-02,EQD,870,USD,120.20,11,1322.20
2026-02-03,FICC,871,EUR,121.30,12,1455.60
2026-02-04,FX,872,USD,122.40,13,1591.20
2026-02-05,EQD,873,USD,123.50,14,1729.00
2026-02-06,FICC,874,EUR,124.60,15,1869.00
2026-02-07,FX,875,USD,125.00,16,2000.00
2026-02-08,EQD,876,USD,126.10,17,2143.70
2026-02-09,FICC,877,EUR,127.20,18,2289.60
2026-02-10,FX,878,USD,128.30,19,2437.70
2026-02-11,EQD,879,USD,129.40,20,2588.00
2026-02-12,FICC,880,EUR,130.50,1,130.50
2026-02-13,FX,881,USD,131.60,2,263.20
2026-02-14,EQD,882,USD,132.00,3,396.00
2026-02-15,FICC,883,EUR,133.10,4,532.40
2026-02-16,FX,884,USD,134.20,5,671.00
2026-02-17,EQD,885,USD,135.30,6,811.80
2026-02-18,FICC,886,EUR,136.40,7,954.80
2026-02-19,FX,887,USD,137.50,8,1100.00
2026-02-20,EQD,888,USD,138.60,9,1247.40
2026-02-21,FICC,889,EUR,139.00,10,1390.00
2026-02-22,FX,890,USD,140.10,11,1541.10
2026-02-23,EQD,891,USD,141.20,12,1694.40
2026-02-24,FICC,892,EUR,142.30,13,1849.90
2026-02-25,FX,893,USD,143.40,14,2007.60
2026-02-26,EQD,894,USD,144.50,15,2167.50
2026-02-27,FICC,895,EUR,145.60,16,2329.60
2026-02-28,FX,896,USD,146.00,17,2482.00
2026-02-01,EQD,897,USD,147.10,18,2647.80
2026-02-02,FICC,898,EUR,148.20,19,2815.80
2026-02-03,FX,899,USD,149.30,20,2986.00
2026-02-04,EQD,900,USD,100.40,1,100.40
2026-02-05,FICC,901,EUR,101.50,2,203.00
2026-02-06,FX,902,USD,102.60,3,307.80
2026-02-07,EQD,903,USD,103.00,4,412.00
2026-02-08,FICC,904,EUR,104.10,5,520.50
2026-02-09,FX,905,USD,105.20,6,631.20
2026-02-10,EQD,906,USD,106.30,7,744.10
2026-02-11,FICC,907,EUR,107.40,8,859.20
2026-02-12,FX,908,USD,108.50,9,976.50
2026-02-13,EQD,909,USD,109.60,10,1096.00
2026-02-14,FICC,910,EUR,110.00,11,1210.00
2026-02-15,FX,911,USD,111.10,12,1333.20
2026-02-16,EQD,912,USD,112.20,13,1458.60
2026-02-17,FICC,913,EUR,113.30,14,1586.20
2026-02-18,FX,914,USD,114.40,15,1716.00
2026-02-19,EQD,915,USD,115.50,16,1848.00
2026-02-20,FICC,916,EUR,116.60,17,1982.20
2026-02-21,FX,917,USD,117.00,18,2106.00
2026-02-22,EQD,918,USD,118.10,19,2243.90
2026-02-23,FICC,919,EUR,119.20,20,2384.00
2026-02-24,FX,920,USD,120.30,1,120.30
2026-02-25,EQD,921,USD,121.40,2,242.80
2026-02-26,FICC,922,EUR,122.50,3,367.50
2026-02-27,FX,923,USD,123.60,4,494.40
2026-02-28,EQD,924,USD,124.00,5,620.00
2026-02-01,FICC,925,EUR,125.10,6,750.60
2026-02-02,FX,926,USD,126.20,7,883.40
2026-02-03,EQD,927,USD,127.30,8,1018.40
2026-02-04,FICC,928,EUR,128.40,9,1155.60
2026-02-05,FX,929,USD,129.50,10,1295.00
2026-02-06,EQD,930,USD,130.60,11,1436.60
2026-02-07,FICC,931,EUR,131.00,12,1572.00
2026-02-08,FX,932,USD,132.10,13,1717.30
2026-02-09,EQD,933,USD,133.20,14,1864.80
2026-02-10,FICC,934,EUR,134.30,15,2014.50
2026-02-11,FX,935,USD,135.40,16,2166.40
2026-02-12,EQD,936,USD,136.50,17,2320.50
2026-02-13,FICC,937,EUR,137.60,18,2476.80
2026-02-14,FX,938,USD,138.00,19,2622.00
2026-02-15,EQD,939,USD,139.10,20,2782.00
2026-02-16,FICC,940,EUR,140.20,1,140.20
2026-02-17,FX,941,USD,141.30,2,282.60
2026-02-18,EQD,942,USD,142.40,3,427.20
2026-02-19,FICC,943,EUR,143.50,4,574.00
2026-02-20,FX,944,USD,144.60,5,723.00
2026-02-21,EQD,945,USD,145.00,6,870.00
2026-02-22,FICC,946,EUR,146.10,7,1022.70
2026-02-23,FX,947,USD,147.20,8,1177.60
2026-02-24,EQD,948,USD,148.30,9,1334.70
2026-02-25,FICC,949,EUR,149.40,10,1494.00
2026-02-26,FX,950,USD,100.50,11,1105.50
2026-02-27,EQD,951,USD,101.60,12,1219.20
2026-02-28,FICC,952,EUR,102.00,13,1326.00
2026-02-01,FX,953,USD,103.10,14,1443.40
2026-02-02,EQD,954,USD,104.20,15,1563.00
2026-02-03,FICC,955,EUR,105.30,16,1684.80
2026-02-04,FX,956,USD,106.40,17,1808.80
2026-02-05,EQD,957,USD,107.50,18,1935.00
2026-02-06,FICC,958,EUR,108.60,19,2063.40
2026-02-07,FX,959,USD,109.00,20,2180.00
2026-02-08,EQD,960,USD,110.10,1,110.10
2026-02-09,FICC,961,EUR,111.20,2,222.40
2026-02-10,FX,962,USD,112.30,3,336.90
2026-02-11,EQD,963,USD,113.40,4,453.60
2026-02-12,FICC,964,EUR,114.50,5,572.50
2026-02-13,FX,965,USD,115.60,6,693.60
2026-02-14,EQD,966,USD,116.00,7,812.00
2026-02-15,FICC,967,EUR,117.10,8,936.80
2026-02-16,FX,968,USD,118.20,9,1063.80
2026-02-17,EQD,969,USD,119.30,10,1193.00
2026-02-18,FICC,970,EUR,120.40,11,1324.40
2026-02-19,FX,971,USD,121.50,12,1458.00
2026-02-20,EQD,972,USD,122.60,13,1593.80
2026-02-21,FICC,973,EUR,123.00,14,1722.00
2026-02-22,FX,974,USD,124.10,15,1861.50
2026-02-23,EQD,975,USD,125.20,16,2003.20
2026-02-24,FICC,976,EUR,126.30,17,2147.10
2026-02-25,FX,977,USD,127.40,18,2293.20
2026-02-26,EQD,978,USD,128.50,19,2441.50
2026-02-27,FICC,979,EUR,129.60,20,2592.00
2026-02-28,FX,980,USD,130.00,1,130.00
2026-02-01,EQD,981,USD,131.10,2,262.20
2026-02-02,FICC,982,EUR,132.20,3,396.60
2026-02-03,FX,983,USD,133.30,4,533.20
2026-02-04,EQD,984,USD,134.40,5,672.00
2026-02-05,FICC,985,EUR,135.50,6,813.00
2026-02-06,FX,986,USD,136.60,7,956.20
2026-02-07,EQD,987,USD,137.00,8,1096.00
2026-02-08,FICC,988,EUR,138.10,9,1242.90
2026-02-09,FX,989,USD,139.20,10,1392.00
2026-02-10,EQD,990,USD,140.30,11,1543.30
2026-02-11,FICC,991,EUR,141.40,12,1696.80
2026-02-12,FX,992,USD,142.50,13,1852.50
2026-02-13,EQD,993,USD,143.60,14,2010.40
2026-02-14,FICC,994,EUR,144.00,15,2160.00
2026-02-15,FX,995,USD,145.10,16,2321.60
2026-02-16,EQD,996,USD,146.20,17,2485.40
2026-02-17,FICC,997,EUR,147.30,18,2651.40
2026-02-18,FX,998,USD,148.40,19,2819.60
2026-02-19,EQD,999,USD,149.50,20,2990.00
2026-02-20,FICC,1000,EUR,100.60,1,100.60
2026-02-21,FX,1001,USD,101.00,2,202.00
2026-02-22,EQD,1002,USD,102.10,3,306.30
2026-02-23,FICC,1003,EUR,103.20,4,412.80
2026-02-24,FX,1004,USD,104.30,5,521.50
2026-02-25,EQD,1005,USD,105.40,6,632.40
2026-02-26,FICC,1006,EUR,106.50,7,745.50
2026-02-27,FX,1007,USD,107.60,8,860.80
2026-02-28,EQD,1008,USD,108.00,9,972.00
2026-02-01,FICC,1009,EUR,109.10,10,1091.00
2026-02-02,FX,1010,USD,110.20,11,1212.20
2026-02-03,EQD,1011,USD,111.30,12,1335.60
2026-02-04,FICC,1012,EUR,112.40,13,1461.20
2026-02-05,FX,1013,USD,113.50,14,1589.00
2026-02-06,EQD,1014,USD,114.60,15,1719.00
2026-02-07,FICC,1015,EUR,115.00,16,1840.00
2026-02-08,FX,1016,USD,116.10,17,1973.70
2026-02-09,EQD,1017,USD,117.20,18,2109.60
2026-02-10,FICC,1018,EUR,118.30,19,2247.70
2026-02-11,FX,1019,USD,119.40,20,2388.00
2026-02-12,EQD,1020,USD,120.50,1,120.50
2026-02-13,FICC,1021,EUR,121.60,2,243.20
2026-02-14,FX,1022,USD,122.00,3,366.00
2026-02-15,EQD,1023,USD,123.10,4,492.40
2026-02-16,FICC,1024,EUR,124.20,5,621.00
2026-02-17,FX,1025,USD,125.30,6,751.80
2026-02-18,EQD,1026,USD,126.40,7,884.80
2026-02-19,FICC,1027,EUR,127.50,8,1020.00
2026-02-20,FX,1028,USD,128.60,9,1157.40
2026-02-21,EQD,1029,USD,129.00,10,1290.00
2026-02-22,FICC,1030,EUR,130.10,11,1431.10
2026-02-23,FX,1031,USD,131.20,12,1574.40
2026-02-24,EQD,1032,USD,132.30,13,1719.90
2026-02-25,FICC,1033,EUR,133.40,14,1867.60
2026-02-26,FX,1034,USD,134.50,15,2017.50
2026-02-27,EQD,1035,USD,135.60,16,2169.60
2026-02-28,FICC,1036,EUR,136.00,17,2312.00
2026-02-01,FX,1037,USD,137.10,18,2467.80
2026-02-02,EQD,1038,USD,138.20,19,2625.80
2026-02-03,FICC,1039,EUR,139.30,20,2786.00
2026-02-04,FX,1040,USD,140.40,1,140.40
2026-02-05,EQD,1041,USD,141.50,2,283.00
2026-02-06,FICC,1042,EUR,142.60,3,427.80
2026-02-07,FX,1043,USD,143.00,4,572.00
2026-02-08,EQD,1044,USD,144.10,5,720.50
2026-02-09,FICC,1045,EUR,145.20,6,871.20
2026-02-10,FX,1046,USD,146.30,7,1024.10
